ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
"S1413-81232021000903111-spa","Distribuição espacial dos equipamentos públicos para comercialização de frutas, legumes e verduras em Curitiba, Paraná, Brasil","Silva, Aline Daniela da Cruz e, Silva, Aichely Rodrigues da, Hofelmann, Doroteia Aparecida","Ciência &amp; Saúde Coletiva; 26(8); 3111-3121","Ciência &amp; Saúde Coletiva","Português","2021","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232021000903111&lang=pt" 
"S0102-30982019000100164-scl","Estruturas invisíveis de segregação na Região Metropolitana de Goiânia","Amaral, Ernesto Friedrich de Lima, Amaral, Camilo Vladimir de Lima","Revista Brasileira de Estudos de População; 36(); -","Revista Brasileira de Estudos de População","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982019000100164&lang=pt" 
"S1809-29502018000300309-scl","Distribuição territorial dos profissionais fisioterapeutas no Brasil","Matsumura, Erica Silva de Souza, Sousa Júnior, Alcinês Silva, Guedes, Juan Andrade, Teixeira, Renato Costa, Kietzer, Katia Simone, Castro, Leny Silene de Freitas","Fisioterapia e Pesquisa; 25(3); 309-314","Fisioterapia e Pesquisa","Português, Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502018000300309&lang=pt" 
"S1413-81232018000200463-spa","Homicídio e lesão corporal em Itaboraí, Brasil: análise em diferentes escalas","Souza, Edinilsa Ramos de, Praça, Heitor Levy Ferreira, Luz, Eliane Santos da, Sabroza, Paulo Chagastelles, Pinto, Liana Wernersbach","Ciência &amp; Saúde Coletiva; 23(2); 463-470","Ciência &amp; Saúde Coletiva","Português, Inglês","2018","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232018000200463&lang=pt" 
"S1415-98482017000100205-scl","MENSURAÇÃO DA DESIGUALDADE EDUCACIONAL ENTRE OS MUNICÍPIOS NORDESTINOS","Rodrigues, Luciana de Oliveira, Araujo, Jair Andrade, Guedes, João Paulo Martins, Silva, Maria Micheliana da Costa","Revista de Economia Contemporânea; 21(1); -","Revista de Economia Contemporânea","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-98482017000100205&lang=pt" 
"S0034-89102017000100269-spa","Spatial patterns of preventable perinatal mortality in Salvador, Bahia, Brazil","Nascimento, Rita de Cássia de Sousa, Costa, Maria da Conceição Nascimento, Braga, José Uéleres, Natividade, Márcio Santos da","Revista de Saúde Pública; 51(); -","Revista de Saúde Pública","Inglês","2017","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102017000100269&lang=pt" 
"S0103-49792016000100101-scl","ESPAÇO METROPOLITANO NO BRASIL: nova ordem espacial?","Andrade, Luciana Teixeira de","Caderno CRH; 29(76); 101-118","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000100101&lang=pt" 
"S0034-89102012000100014-spa","Spatial analysis of leprosy incidence and associated socioeconomic factors","Cury, Maria Rita de Cassia Oliveira, Paschoal, Vania Del´Arco, Nardi, Susilene Maria Tonelli, Chierotti, Ana Patrícia, Rodrigues Júnior, Antonio Luiz, Chiaravalloti-Neto, Francisco","Revista de Saúde Pública; 46(1); 110-118","Revista de Saúde Pública","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102012000100014&lang=pt" 
"S0034-89102012000100014-scl","Spatial analysis of leprosy incidence and associated socioeconomic factors","Cury, Maria Rita de Cassia Oliveira, Paschoal, Vania Del´Arco, Nardi, Susilene Maria Tonelli, Chierotti, Ana Patrícia, Rodrigues Júnior, Antonio Luiz, Chiaravalloti-Neto, Francisco","Revista de Saúde Pública; 46(1); 110-118","Revista de Saúde Pública","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102012000100014&lang=pt" 
"S0034-89102009000400012-spa","Desigualdade social, crescimento urbano e hanseníase em Manaus: abordagem espacial","Imbiriba, Elsia Nascimento Belo, Silva Neto, Antônio Levino da, Souza, Wayner Vieira de, Pedrosa, Valderiza, Cunha, Maria da Graça, Garnelo, Luiza","Revista de Saúde Pública; 43(4); 656-665","Revista de Saúde Pública","Português, Inglês","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000400012&lang=pt" 
"S0034-89102009000400012-scl","Desigualdade social, crescimento urbano e hanseníase em Manaus: abordagem espacial","Imbiriba, Elsia Nascimento Belo, Silva Neto, Antônio Levino da, Souza, Wayner Vieira de, Pedrosa, Valderiza, Cunha, Maria da Graça, Garnelo, Luiza","Revista de Saúde Pública; 43(4); 656-665","Revista de Saúde Pública","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000400012&lang=pt" 
"S0102-311X2009000500009-spa","Análise espacial da ocorrência de dengue e condições de vida na cidade de Nova Iguaçu, Estado do Rio de Janeiro, Brasil","Machado, Juliana Pires, Oliveira, Rosely Magalhães de, Souza-Santos, Reinaldo","Cadernos de Saúde Pública; 25(5); 1025-1034","Cadernos de Saúde Pública","Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2009000500009&lang=pt" 
"S0102-311X2009000500009-scl","Análise espacial da ocorrência de dengue e condições de vida na cidade de Nova Iguaçu, Estado do Rio de Janeiro, Brasil","Machado, Juliana Pires, Oliveira, Rosely Magalhães de, Souza-Santos, Reinaldo","Cadernos de Saúde Pública; 25(5); 1025-1034","Cadernos de Saúde Pública","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2009000500009&lang=pt" 
"S0104-12902007000200010-scl","Mortalidade infantil em remanescentes de quilombos do Munícipio de Santarém - Pará, Brasil","Guerrero, Ana Felisa Hurtado, Silva, Denise Oliveira e, Toledo, Luciano Medeiros de, Guerrero, José Camilo Hurtado, Teixeira, Pery","Saúde e Sociedade; 16(2); 103-110","Saúde e Sociedade","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902007000200010&lang=pt" 
"S0104-12902007000200010-spa","Mortalidade infantil em remanescentes de quilombos do Munícipio de Santarém - Pará, Brasil","Guerrero, Ana Felisa Hurtado, Silva, Denise Oliveira e, Toledo, Luciano Medeiros de, Guerrero, José Camilo Hurtado, Teixeira, Pery","Saúde e Sociedade; 16(2); 103-110","Saúde e Sociedade","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0104-12902007000200010&lang=pt" 
"S0034-89102002000600004-spa","Geoprocessamento e a promoção da saúde: desigualdades sociais e ambientais em São Paulo","Chiesa, Anna Maria, Westphal, Márcia Faria, Kashiwagi, Néa Miwa","Revista de Saúde Pública; 36(5); 559-567","Revista de Saúde Pública","Português","2002","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102002000600004&lang=pt" 
"S0034-89102002000600004-scl","Geoprocessamento e a promoção da saúde: desigualdades sociais e ambientais em São Paulo","Chiesa, Anna Maria, Westphal, Márcia Faria, Kashiwagi, Néa Miwa","Revista de Saúde Pública; 36(5); 559-567","Revista de Saúde Pública","Português","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102002000600004&lang=pt" 
